Time_s   F0_Hz
0.021247   --undefined--
0.031247   173.635498
0.041247   175.112634
0.051247   174.766371
0.061247   --undefined--
0.071247   --undefined--
0.081247   --undefined--
0.091247   --undefined--
0.101247   --undefined--
0.111247   --undefined--
0.121247   --undefined--
0.131247   --undefined--
0.141247   --undefined--
0.151247   --undefined--
0.161247   --undefined--
0.171247   --undefined--
0.181247   --undefined--
0.191247   --undefined--
0.201247   --undefined--
0.211247   --undefined--
0.221247   173.644204
0.231247   166.602318
0.241247   157.891910
0.251247   155.488408
0.261247   152.546388
0.271247   143.574138
0.281247   136.836584
0.291247   134.541176
0.301247   133.240968
0.311247   135.464331
0.321247   138.149149
0.331247   137.106983
0.341247   129.419969
0.351247   128.061724
0.361247   125.986897
0.371247   142.967374
0.381247   135.761430
0.391247   126.027876
0.401247   139.604050
0.411247   148.313123
0.421247   145.806484
0.431247   143.568247
0.441247   140.742308
0.451247   139.914717
0.461247   138.619411
0.471247   137.050486
0.481247   135.456501
0.491247   133.780553
0.501247   131.818749
0.511247   128.578357
0.521247   128.192910
0.531247   128.652034
0.541247   128.738086
0.551247   128.861673
0.561247   126.771025
0.571247   126.493863
0.581247   128.266755
0.591247   129.240235
0.601247   126.993240
0.611247   124.009135
0.621247   124.175508
0.631247   124.824703
0.641247   123.190059
0.651247   122.827391
0.661247   117.890166
0.671247   121.966207
0.681247   135.543879
0.691247   131.467943
0.701247   133.787543
0.711247   134.573454
0.721247   --undefined--
0.731247   --undefined--
0.741247   --undefined--
0.751247   --undefined--
0.761247   --undefined--
0.771247   --undefined--
0.781247   --undefined--
0.791247   --undefined--
0.801247   200.352845
0.811247   194.730139
0.821247   197.826185
0.831247   199.133353
0.841247   200.511714
0.851247   200.222498
0.861247   194.851530
0.871247   171.860414
0.881247   172.129397
0.891247   181.674598
0.901247   190.194931
0.911247   --undefined--
0.921247   --undefined--
0.931247   --undefined--
0.941247   --undefined--
0.951247   --undefined--
0.961247   --undefined--
0.971247   --undefined--
0.981247   --undefined--
0.991247   198.500387
1.001247   198.164979
1.011247   179.411541
1.021247   171.427211
1.031247   165.979572
1.041247   160.204139
1.051247   145.435499
1.061247   137.602922
1.071247   161.792112
1.081247   171.874209
1.091247   173.652529
1.101247   --undefined--
1.111247   --undefined--
1.121247   --undefined--
1.131247   167.475913
1.141247   181.537576
1.151247   161.479096
1.161247   144.142256
1.171247   134.019618
1.181247   128.011780
1.191247   123.729003
1.201247   --undefined--
1.211247   --undefined--
1.221247   --undefined--
1.231247   --undefined--
1.241247   --undefined--
1.251247   --undefined--
1.261247   --undefined--
1.271247   163.621409
1.281247   168.660571
1.291247   171.936183
1.301247   177.285997
1.311247   172.309459
1.321247   172.298782
1.331247   183.468460
1.341247   180.904662
1.351247   178.272483
1.361247   169.044081
1.371247   160.810316
1.381247   158.806739
1.391247   158.419470
1.401247   154.938016
1.411247   154.562229
1.421247   157.982196
1.431247   156.748138
1.441247   157.132776
1.451247   155.013669
1.461247   151.738523
1.471247   149.576802
1.481247   147.446690
1.491247   145.119610
1.501247   144.094323
1.511247   143.118257
1.521247   142.954845
1.531247   142.562837
1.541247   140.722474
1.551247   139.604278
1.561247   135.674600
1.571247   138.117475
1.581247   137.806309
1.591247   133.872476
1.601247   129.735804
1.611247   131.094694
1.621247   132.781261
1.631247   129.548222
1.641247   128.746320
1.651247   124.686244
1.661247   122.462694
1.671247   125.025888
1.681247   --undefined--
1.691247   --undefined--
1.701247   --undefined--
1.711247   --undefined--
1.721247   163.984993
1.731247   165.059510
1.741247   189.824562
1.751247   207.997216
1.761247   --undefined--
1.771247   136.023406
1.781247   130.746908
1.791247   130.630886
1.801247   130.301679
1.811247   --undefined--
1.821247   --undefined--
1.831247   --undefined--
1.841247   --undefined--
1.851247   --undefined--
1.861247   --undefined--
1.871247   --undefined--
1.881247   --undefined--
1.891247   --undefined--
1.901247   --undefined--
1.911247   --undefined--
1.921247   --undefined--
1.931247   --undefined--
1.941247   166.269104
1.951247   167.425487
1.961247   152.809593
1.971247   140.293003
1.981247   139.588222
1.991247   137.416778
2.001247   135.949431
2.011247   134.598504
2.021247   133.281628
2.031247   132.267259
2.041247   132.258259
2.051247   131.546639
2.061247   130.405291
2.071247   129.353115
2.081247   126.663215
2.091247   124.330516
2.101247   120.288107
2.111247   128.436850
2.121247   132.738976
2.131247   136.757525
2.141247   136.835445
2.151247   135.417782
2.161247   135.778309
2.171247   132.560037
2.181247   130.319080
2.191247   131.622464
2.201247   133.571160
2.211247   132.610277
2.221247   133.377871
2.231247   132.161931
2.241247   135.586563
2.251247   135.212523
2.261247   136.498938
2.271247   139.223071
2.281247   159.875062
2.291247   139.123085
2.301247   136.258246
2.311247   131.103593
2.321247   128.237429
2.331247   125.339659
2.341247   121.800551
2.351247   122.151754
2.361247   121.800429
2.371247   --undefined--
2.381247   --undefined--
2.391247   --undefined--
2.401247   --undefined--
2.411247   --undefined--
2.421247   --undefined--
2.431247   135.363460
2.441247   130.971336
2.451247   131.128839
2.461247   134.654869
2.471247   142.105823
2.481247   --undefined--
2.491247   --undefined--
2.501247   139.067992
2.511247   139.458697
2.521247   134.438699
2.531247   137.398124
2.541247   132.717439
2.551247   137.309786
2.561247   134.664957
2.571247   138.609262
2.581247   142.734426
2.591247   146.156852
2.601247   145.372270
2.611247   151.537004
2.621247   152.442461
2.631247   --undefined--
2.641247   --undefined--
2.651247   148.202434
2.661247   145.200909
2.671247   130.947153
2.681247   150.124507
2.691247   150.337969
2.701247   --undefined--
2.711247   --undefined--
2.721247   --undefined--
2.731247   --undefined--
2.741247   --undefined--
2.751247   --undefined--
