Time_s   F0_Hz
0.023322   --undefined--
0.033322   --undefined--
0.043322   --undefined--
0.053322   --undefined--
0.063322   --undefined--
0.073322   --undefined--
0.083322   --undefined--
0.093322   --undefined--
0.103322   --undefined--
0.113322   --undefined--
0.123322   --undefined--
0.133322   --undefined--
0.143322   --undefined--
0.153322   --undefined--
0.163322   --undefined--
0.173322   --undefined--
0.183322   --undefined--
0.193322   --undefined--
0.203322   175.065085
0.213322   177.190759
0.223322   169.542542
0.233322   146.537348
0.243322   144.551108
0.253322   140.679247
0.263322   138.596243
0.273322   140.933921
0.283322   141.766526
0.293322   141.636890
0.303322   140.076410
0.313322   135.969420
0.323322   133.906113
0.333322   126.103394
0.343322   --undefined--
0.353322   --undefined--
0.363322   --undefined--
0.373322   --undefined--
0.383322   --undefined--
0.393322   134.345221
0.403322   134.307868
0.413322   156.397353
0.423322   152.727560
0.433322   151.288213
0.443322   149.707404
0.453322   147.194770
0.463322   142.395395
0.473322   134.646960
0.483322   131.715098
0.493322   133.510188
0.503322   133.288312
0.513322   135.844584
0.523322   150.355442
0.533322   149.062524
0.543322   152.916108
0.553322   154.531084
0.563322   154.449328
0.573322   155.143877
0.583322   165.327692
0.593322   156.805066
0.603322   153.289834
0.613322   151.296279
0.623322   149.286248
0.633322   147.254433
0.643322   144.966788
0.653322   144.763333
0.663322   158.543286
0.673322   152.951888
0.683322   146.426527
0.693322   141.992120
0.703322   148.291741
0.713322   150.437905
0.723322   156.997315
0.733322   155.811597
0.743322   --undefined--
0.753322   155.137118
0.763322   151.823204
0.773322   144.459165
0.783322   128.783628
0.793322   143.003180
0.803322   134.942098
0.813322   --undefined--
0.823322   171.400284
0.833322   176.709740
0.843322   164.856329
0.853322   154.946204
0.863322   141.350464
0.873322   157.525502
0.883322   146.479454
0.893322   166.913910
0.903322   166.212655
0.913322   161.785341
0.923322   160.812199
0.933322   161.192426
0.943322   161.261130
0.953322   158.425842
0.963322   156.589978
0.973322   154.399054
0.983322   151.662359
0.993322   148.876436
1.003322   146.192743
1.013322   143.450429
1.023322   139.511751
1.033322   134.808625
1.043322   130.701756
1.053322   --undefined--
1.063322   --undefined--
1.073322   --undefined--
1.083322   156.595662
1.093322   155.999587
1.103322   150.278002
1.113322   146.046437
1.123322   149.500572
1.133322   151.758535
1.143322   145.184369
1.153322   150.817236
1.163322   154.336689
1.173322   148.513984
1.183322   148.545311
1.193322   141.354293
1.203322   158.086187
1.213322   158.504916
1.223322   157.813609
1.233322   154.141854
1.243322   148.318258
1.253322   147.974986
1.263322   146.494429
1.273322   151.120399
1.283322   159.479986
1.293322   155.106645
1.303322   155.911273
1.313322   157.621146
1.323322   144.693832
1.333322   140.527838
1.343322   138.006649
1.353322   135.742939
1.363322   133.864208
1.373322   133.333906
1.383322   132.234247
1.393322   131.674964
1.403322   131.847648
1.413322   133.197137
1.423322   134.741770
1.433322   136.474533
1.443322   138.441112
1.453322   139.293601
1.463322   138.054132
1.473322   135.043506
1.483322   131.989928
1.493322   132.093084
1.503322   --undefined--
1.513322   --undefined--
1.523322   --undefined--
1.533322   --undefined--
1.543322   --undefined--
1.553322   --undefined--
1.563322   --undefined--
1.573322   --undefined--
1.583322   --undefined--
1.593322   --undefined--
1.603322   139.438276
1.613322   159.545944
1.623322   154.283576
1.633322   144.572327
1.643322   140.628339
1.653322   136.874144
1.663322   134.687043
1.673322   135.013347
1.683322   135.922099
1.693322   135.460586
1.703322   134.419620
1.713322   131.518800
1.723322   128.132014
1.733322   129.328147
1.743322   130.094565
1.753322   130.145105
1.763322   131.355359
1.773322   138.210828
1.783322   140.714248
1.793322   140.647440
1.803322   138.459377
1.813322   135.832336
