Time_s   F0_Hz
0.021553   --undefined--
0.031553   --undefined--
0.041553   --undefined--
0.051553   --undefined--
0.061553   --undefined--
0.071553   --undefined--
0.081553   --undefined--
0.091553   --undefined--
0.101553   --undefined--
0.111553   --undefined--
0.121553   --undefined--
0.131553   --undefined--
0.141553   --undefined--
0.151553   --undefined--
0.161553   --undefined--
0.171553   --undefined--
0.181553   --undefined--
0.191553   --undefined--
0.201553   --undefined--
0.211553   --undefined--
0.221553   --undefined--
0.231553   --undefined--
0.241553   --undefined--
0.251553   169.268928
0.261553   163.267887
0.271553   154.725636
0.281553   147.104893
0.291553   142.239843
0.301553   138.294460
0.311553   134.349385
0.321553   130.072307
0.331553   125.678791
0.341553   123.395571
0.351553   120.119390
0.361553   118.896110
0.371553   127.199897
0.381553   133.796214
0.391553   160.721185
0.401553   159.612756
0.411553   158.705764
0.421553   162.992521
0.431553   169.832577
0.441553   175.936433
0.451553   177.361759
0.461553   176.456808
0.471553   174.921239
0.481553   171.337625
0.491553   171.627945
0.501553   172.426389
0.511553   171.639754
0.521553   158.010971
0.531553   147.298961
0.541553   135.456146
0.551553   163.302892
0.561553   163.885874
0.571553   165.467635
0.581553   165.520931
0.591553   165.695797
0.601553   164.443999
0.611553   158.651871
0.621553   159.884900
0.631553   160.447957
0.641553   177.239489
0.651553   189.329160
0.661553   156.276552
0.671553   144.348950
0.681553   138.577811
0.691553   134.896655
0.701553   130.201469
0.711553   128.202456
0.721553   128.320561
0.731553   124.924564
0.741553   123.152516
0.751553   126.582264
0.761553   127.293288
0.771553   126.635416
0.781553   126.175518
0.791553   124.955622
0.801553   123.764085
0.811553   122.348546
0.821553   121.563087
0.831553   121.568977
0.841553   120.944104
0.851553   120.075346
0.861553   120.237868
0.871553   119.911123
0.881553   120.104489
0.891553   120.635431
0.901553   119.967819
0.911553   120.613594
0.921553   122.055007
0.931553   122.247139
0.941553   122.171568
0.951553   122.060548
0.961553   119.435661
0.971553   114.933197
0.981553   115.437673
0.991553   116.713839
1.001553   116.872955
1.011553   117.655985
1.021553   116.518936
1.031553   117.661263
1.041553   124.962730
1.051553   119.824692
1.061553   135.271875
1.071553   136.922212
1.081553   131.359504
1.091553   128.692401
1.101553   126.201851
1.111553   124.299641
1.121553   123.206605
1.131553   121.322194
1.141553   119.786699
1.151553   117.161855
1.161553   116.533149
1.171553   119.562134
1.181553   120.950829
1.191553   121.212018
1.201553   128.203604
1.211553   131.954287
1.221553   123.396057
1.231553   123.302846
1.241553   126.882641
1.251553   129.066294
1.261553   133.071904
1.271553   139.605127
1.281553   --undefined--
1.291553   --undefined--
1.301553   --undefined--
1.311553   --undefined--
1.321553   --undefined--
1.331553   --undefined--
1.341553   --undefined--
1.351553   --undefined--
1.361553   --undefined--
1.371553   --undefined--
1.381553   --undefined--
1.391553   --undefined--
1.401553   --undefined--
1.411553   --undefined--
1.421553   --undefined--
1.431553   --undefined--
1.441553   --undefined--
1.451553   --undefined--
1.461553   --undefined--
1.471553   89.201136
1.481553   90.619764
1.491553   91.234140
1.501553   153.562875
1.511553   140.179882
1.521553   133.124427
1.531553   127.779333
1.541553   124.363872
1.551553   120.583531
1.561553   117.129657
1.571553   111.416540
1.581553   114.304805
1.591553   112.382345
1.601553   125.777938
1.611553   139.318855
1.621553   140.022353
1.631553   143.322852
1.641553   146.433033
1.651553   148.524126
1.661553   149.864308
1.671553   148.905272
1.681553   146.038010
1.691553   144.368348
1.701553   145.081244
1.711553   112.576877
1.721553   137.321280
1.731553   146.310176
1.741553   148.132038
1.751553   143.295145
1.761553   146.873307
1.771553   146.803861
1.781553   147.124473
1.791553   147.566050
1.801553   152.224083
1.811553   151.215199
1.821553   143.170449
1.831553   144.428758
1.841553   147.209979
1.851553   --undefined--
1.861553   --undefined--
1.871553   --undefined--
1.881553   --undefined--
1.891553   --undefined--
1.901553   --undefined--
1.911553   --undefined--
1.921553   --undefined--
1.931553   --undefined--
1.941553   --undefined--
1.951553   --undefined--
1.961553   --undefined--
1.971553   140.229860
1.981553   141.841401
1.991553   132.283941
2.001553   129.045252
2.011553   123.553810
2.021553   120.545511
2.031553   119.225514
2.041553   117.576295
2.051553   116.357114
2.061553   116.749953
2.071553   115.989077
2.081553   115.919651
2.091553   117.337589
2.101553   116.167668
2.111553   115.431425
2.121553   114.090474
2.131553   107.871042
2.141553   111.456668
2.151553   115.503207
2.161553   118.396499
2.171553   118.936712
2.181553   119.157212
2.191553   117.859434
2.201553   116.289343
2.211553   115.092159
2.221553   113.698967
2.231553   111.730355
2.241553   110.754314
2.251553   116.581272
2.261553   116.410281
2.271553   115.963685
2.281553   --undefined--
2.291553   --undefined--
2.301553   --undefined--
2.311553   --undefined--
2.321553   --undefined--
2.331553   --undefined--
2.341553   --undefined--
2.351553   --undefined--
2.361553   --undefined--
2.371553   117.444196
2.381553   145.195112
2.391553   --undefined--
2.401553   --undefined--
2.411553   --undefined--
2.421553   120.171988
2.431553   136.725844
2.441553   126.819102
2.451553   126.454958
2.461553   121.437912
2.471553   118.841822
2.481553   118.420418
2.491553   120.723084
2.501553   122.242634
2.511553   118.711017
2.521553   119.820530
2.531553   119.159502
2.541553   --undefined--
2.551553   --undefined--
2.561553   --undefined--
2.571553   --undefined--
2.581553   --undefined--
2.591553   --undefined--
2.601553   --undefined--
2.611553   --undefined--
2.621553   --undefined--
2.631553   --undefined--
2.641553   --undefined--
2.651553   --undefined--
2.661553   --undefined--
2.671553   --undefined--
2.681553   --undefined--
2.691553   --undefined--
2.701553   --undefined--
2.711553   --undefined--
2.721553   --undefined--
2.731553   --undefined--
2.741553   --undefined--
2.751553   --undefined--
2.761553   --undefined--
2.771553   --undefined--
2.781553   --undefined--
2.791553   --undefined--
2.801553   --undefined--
2.811553   --undefined--
2.821553   170.735916
2.831553   176.666711
2.841553   194.154831
2.851553   175.377875
2.861553   165.786022
2.871553   174.123953
2.881553   --undefined--
