Time_s   F0_Hz
0.021859   --undefined--
0.031859   --undefined--
0.041859   --undefined--
0.051859   --undefined--
0.061859   --undefined--
0.071859   --undefined--
0.081859   --undefined--
0.091859   --undefined--
0.101859   --undefined--
0.111859   --undefined--
0.121859   --undefined--
0.131859   --undefined--
0.141859   --undefined--
0.151859   --undefined--
0.161859   --undefined--
0.171859   --undefined--
0.181859   --undefined--
0.191859   --undefined--
0.201859   --undefined--
0.211859   --undefined--
0.221859   --undefined--
0.231859   --undefined--
0.241859   --undefined--
0.251859   --undefined--
0.261859   --undefined--
0.271859   --undefined--
0.281859   --undefined--
0.291859   --undefined--
0.301859   --undefined--
0.311859   --undefined--
0.321859   --undefined--
0.331859   164.486929
0.341859   162.581627
0.351859   155.040327
0.361859   143.459359
0.371859   139.242468
0.381859   137.949649
0.391859   130.788840
0.401859   128.520824
0.411859   124.631679
0.421859   --undefined--
0.431859   --undefined--
0.441859   137.064806
0.451859   154.612581
0.461859   153.339640
0.471859   147.599106
0.481859   167.281917
0.491859   152.764664
0.501859   141.986829
0.511859   134.602935
0.521859   130.254522
0.531859   123.657462
0.541859   117.458105
0.551859   --undefined--
0.561859   --undefined--
0.571859   --undefined--
0.581859   --undefined--
0.591859   --undefined--
0.601859   --undefined--
0.611859   --undefined--
0.621859   --undefined--
0.631859   --undefined--
0.641859   --undefined--
0.651859   --undefined--
0.661859   --undefined--
0.671859   --undefined--
0.681859   191.736961
0.691859   185.160782
0.701859   185.867881
0.711859   188.840703
0.721859   190.448999
0.731859   190.983659
0.741859   190.059327
0.751859   188.367522
0.761859   186.264249
0.771859   178.809587
0.781859   178.168275
0.791859   176.550407
0.801859   175.249023
0.811859   170.595475
0.821859   170.138532
0.831859   160.186563
0.841859   155.042881
0.851859   144.563447
0.861859   144.580950
0.871859   160.926144
0.881859   --undefined--
0.891859   --undefined--
0.901859   --undefined--
0.911859   --undefined--
0.921859   --undefined--
0.931859   --undefined--
0.941859   --undefined--
0.951859   --undefined--
0.961859   --undefined--
0.971859   --undefined--
0.981859   175.914483
0.991859   172.315938
1.001859   140.465424
1.011859   134.715409
1.021859   128.866888
1.031859   122.069496
1.041859   121.714000
1.051859   119.432730
1.061859   120.103138
1.071859   122.817034
1.081859   123.431406
1.091859   136.066280
1.101859   --undefined--
1.111859   94.188007
1.121859   94.390264
1.131859   --undefined--
1.141859   --undefined--
1.151859   --undefined--
1.161859   --undefined--
1.171859   --undefined--
1.181859   --undefined--
1.191859   --undefined--
1.201859   --undefined--
1.211859   --undefined--
1.221859   --undefined--
1.231859   182.534117
1.241859   174.521129
1.251859   173.194702
1.261859   173.737481
1.271859   174.017778
1.281859   173.167204
1.291859   170.386428
1.301859   176.469100
1.311859   173.712696
1.321859   174.340585
1.331859   170.769213
1.341859   172.151881
1.351859   170.965563
1.361859   164.443549
1.371859   174.384215
1.381859   173.703570
1.391859   173.500510
1.401859   176.272410
1.411859   176.523921
1.421859   168.729132
1.431859   199.913569
1.441859   168.602994
1.451859   166.096539
1.461859   156.022358
1.471859   155.467583
1.481859   154.060400
1.491859   148.452331
1.501859   147.933310
1.511859   146.067680
1.521859   144.566392
1.531859   143.143781
1.541859   137.759722
1.551859   135.927943
1.561859   135.968109
1.571859   137.940309
1.581859   148.912080
1.591859   152.270578
1.601859   149.357330
1.611859   148.418896
1.621859   150.290264
1.631859   148.644974
1.641859   149.422485
1.651859   155.374248
1.661859   149.185787
1.671859   148.508904
1.681859   148.004252
1.691859   150.803581
1.701859   175.340982
1.711859   166.646152
1.721859   153.467440
1.731859   146.781527
1.741859   141.857625
1.751859   139.334906
1.761859   136.588180
1.771859   131.456584
1.781859   130.370363
1.791859   127.779541
1.801859   134.122516
1.811859   130.284696
1.821859   129.353915
1.831859   133.206663
1.841859   133.403084
1.851859   131.280123
1.861859   127.646479
