Time_s   F0_Hz
1.871859   124.950021
1.881859   123.387379
1.891859   122.074310
1.901859   116.564517
1.911859   124.243472
1.921859   122.718049
1.931859   125.144588
1.941859   130.424328
1.951859   136.170779
1.961859   137.558997
1.971859   130.335727
1.981859   129.739530
1.991859   128.970660
2.001859   130.909034
2.011859   132.476039
2.021859   131.666287
2.031859   130.538525
2.041859   129.909214
2.051859   129.456815
2.061859   128.403647
2.071859   127.132650
2.081859   125.821452
2.091859   123.413533
2.101859   121.517668
2.111859   130.256556
2.121859   132.775970
2.131859   129.092586
2.141859   134.468976
2.151859   126.514980
2.161859   130.067405
2.171859   133.186451
2.181859   133.408834
2.191859   129.110325
2.201859   128.863066
2.211859   134.756869
2.221859   142.402106
2.231859   150.391463
2.241859   144.329588
2.251859   141.258275
2.261859   134.192506
2.271859   130.460072
2.281859   124.385680
2.291859   121.776588
2.301859   --undefined--
2.311859   --undefined--
2.321859   --undefined--
2.331859   --undefined--
2.341859   --undefined--
2.351859   125.389722
2.361859   134.940227
2.371859   135.700796
2.381859   139.645583
2.391859   145.537379
2.401859   151.282261
2.411859   143.905405
2.421859   144.290384
2.431859   150.230724
2.441859   142.900589
2.451859   136.098312
2.461859   125.515433
2.471859   122.037835
2.481859   130.343821
2.491859   130.290216
2.501859   --undefined--
2.511859   --undefined--
2.521859   --undefined--
2.531859   --undefined--
2.541859   --undefined--
2.551859   --undefined--
2.561859   --undefined--
2.571859   --undefined--
2.581859   --undefined--
2.591859   --undefined--
2.601859   --undefined--
2.611859   --undefined--
2.621859   --undefined--
2.631859   --undefined--
2.641859   --undefined--
2.651859   --undefined--
2.661859   --undefined--
2.671859   --undefined--
2.681859   --undefined--
2.691859   --undefined--
2.701859   --undefined--
2.711859   --undefined--
2.721859   --undefined--
2.731859   --undefined--
2.741859   --undefined--
2.751859   --undefined--
2.761859   --undefined--
2.771859   185.051443
2.781859   173.324826
2.791859   176.132777
2.801859   173.664331
2.811859   167.903658
2.821859   172.886002
2.831859   165.128014
2.841859   --undefined--
2.851859   --undefined--
2.861859   --undefined--
2.871859   --undefined--
2.881859   --undefined--
2.891859   --undefined--
2.901859   --undefined--
2.911859   --undefined--
2.921859   --undefined--
2.931859   --undefined--
2.941859   185.518986
2.951859   191.122108
2.961859   --undefined--
2.971859   --undefined--
2.981859   --undefined--
2.991859   --undefined--
3.001859   --undefined--
3.011859   --undefined--
